******* VobcCfgToSIM start: totalNum = 62 , signalNum = 20 , psdNum = 6 , segNum = 36 ***************
序号	设备类型	设备类型值	设备名称	设备ID	vobcID
0	信号机	0x00000001	X1805	0x00000000	0xF0040005
1	信号机	0x00000001	S1806	0x00000001	0xF0040011
2	信号机	0x00000001	X1801	0x00000002	0xF0040002
3	信号机	0x00000001	X1803	0x00000003	0xF0040003
4	信号机	0x00000001	X1817	0x00000004	0xF004000A
5	信号机	0x00000001	X1901	0x00000005	0xF004000B
6	信号机	0x00000001	S1802	0x00000006	0xF004000E
7	信号机	0x00000001	S1804	0x00000007	0xF004000F
8	信号机	0x00000001	S1902	0x00000008	0xF0040016
9	信号机	0x00000001	S1904	0x00000009	0xF004001E
10	信号机	0x00000001	X1807	0x0000000A	0xF0040004
11	信号机	0x00000001	S1808	0x0000000B	0xF0040010
12	信号机	0x00000001	X1809	0x0000000C	0xF0040006
13	信号机	0x00000001	X1813	0x0000000D	0xF0040008
14	信号机	0x00000001	S1810	0x0000000E	0xF0040012
15	信号机	0x00000001	S1816	0x0000000F	0xF0040015
16	信号机	0x00000001	X1811	0x00000010	0xF0040007
17	信号机	0x00000001	X1815	0x00000011	0xF0040009
18	信号机	0x00000001	S1812	0x00000012	0xF0040013
19	信号机	0x00000001	S1814	0x00000013	0xF0040014
20	屏蔽门	0x00000002	PSD1801	0x00000000	0xEB040001
21	屏蔽门	0x00000002	PSD1802	0x00000001	0xEB040002
22	屏蔽门	0x00000002	PSD1901	0x00000002	0xEB040003
23	屏蔽门	0x00000002	PSD1902	0x00000003	0xEB040004
24	屏蔽门	0x00000002	PSD2001	0x00000004	0xEB040005
25	屏蔽门	0x00000002	PSD2002	0x00000005	0xEB040006
26	物理区段	0x00000003	T1801	0x00000000	0xE9040001
27	物理区段	0x00000003	T1803	0x00000001	0xE9040002
28	物理区段	0x00000003	T1805	0x00000002	0xE9040003
29	物理区段	0x00000003	T1807	0x00000003	0xE9040004
30	物理区段	0x00000003	T1809	0x00000004	0xE9040005
31	物理区段	0x00000003	T1811	0x00000005	0xE904000C
32	物理区段	0x00000003	T1813	0x00000006	0xE9040006
33	物理区段	0x00000003	T1813	0x00000006	0xE9040007
34	物理区段	0x00000003	T1813	0x00000006	0xE904000A
35	物理区段	0x00000003	T1815	0x00000007	0xE9040008
36	物理区段	0x00000003	T1815	0x00000007	0xE904000D
37	物理区段	0x00000003	T1817	0x00000008	0xE904000E
38	物理区段	0x00000003	T1819	0x00000009	0xE904000F
39	物理区段	0x00000003	T1819	0x00000009	0xE9040011
40	物理区段	0x00000003	T1821	0x0000000A	0xE9040010
41	物理区段	0x00000003	T1823	0x0000000B	0xE9040012
42	物理区段	0x00000003	T1901	0x0000000C	0xE9040013
43	物理区段	0x00000003	T1903	0x0000000D	0xE9040014
44	物理区段	0x00000003	T1905	0x0000000E	0xE9040015
45	物理区段	0x00000003	T1802	0x0000000F	0xE9040017
46	物理区段	0x00000003	T1804	0x00000010	0xE9040018
47	物理区段	0x00000003	T1806	0x00000011	0xE9040019
48	物理区段	0x00000003	T1808	0x00000012	0xE904001A
49	物理区段	0x00000003	T1810	0x00000013	0xE904001B
50	物理区段	0x00000003	T1812	0x00000014	0xE9040020
51	物理区段	0x00000003	T1814	0x00000015	0xE9040009
52	物理区段	0x00000003	T1814	0x00000015	0xE904001C
53	物理区段	0x00000003	T1814	0x00000015	0xE904001D
54	物理区段	0x00000003	T1816	0x00000016	0xE904001E
55	物理区段	0x00000003	T1816	0x00000016	0xE9040021
56	物理区段	0x00000003	T1818	0x00000017	0xE9040022
57	物理区段	0x00000003	T1820	0x00000018	0xE9040023
58	物理区段	0x00000003	T1820	0x00000018	0xE9040024
59	物理区段	0x00000003	T1902	0x00000019	0xE9040025
60	物理区段	0x00000003	T1904	0x0000001A	0xE9040026
61	物理区段	0x00000003	T1906	0x0000001B	0xE9040027

******* VobcCfgToSIM start: totalNum = 62 , signalNum = 20 , psdNum = 6 , segNum = 36 ***************
