************************ ZcCfgToSIM start: 67 ******************************
序号	设备类型	设备类型值	设备名称	设备ID	zcID
0	DBJ	0x0001	P1801	0x0000	0x00000001
1	DBJ	0x0001	P1803	0x0001	0x00000002
2	DBJ	0x0001	P1805	0x0002	0x00000003
3	DBJ	0x0001	P1807	0x0003	0x00000004
4	DBJ	0x0001	P1802	0x0004	0x00000005
5	DBJ	0x0001	P1804	0x0005	0x00000006
6	DBJ	0x0001	P1806	0x0006	0x00000007
7	DBJ	0x0001	P1808	0x0007	0x00000008
8	SCT-NERCV	0x0004	X1805	0x0000	0x00000005
9	SCT-NERCV	0x0004	S1806	0x0001	0x00000011
10	SCT-NERCV	0x0004	X1801	0x0002	0x00000002
11	SCT-NERCV	0x0004	X1803	0x0003	0x00000003
12	SCT-NERCV	0x0004	X1817	0x0004	0x0000000A
13	SCT-NERCV	0x0004	X1901	0x0005	0x0000000B
14	SCT-NERCV	0x0004	S1802	0x0006	0x0000000E
15	SCT-NERCV	0x0004	S1804	0x0007	0x0000000F
16	SCT-NERCV	0x0004	S1902	0x0008	0x00000016
17	SCT-NERCV	0x0004	S1904	0x0009	0x0000001E
18	SCT-NERCV	0x0004	X1807	0x000A	0x00000004
19	SCT-NERCV	0x0004	S1808	0x000B	0x00000010
20	SCT-NERCV	0x0004	X1809	0x000C	0x00000006
21	SCT-NERCV	0x0004	X1813	0x000D	0x00000008
22	SCT-NERCV	0x0004	S1810	0x000E	0x00000012
23	SCT-NERCV	0x0004	S1816	0x000F	0x00000015
24	SCT-NERCV	0x0004	X1811	0x0010	0x00000007
25	SCT-NERCV	0x0004	X1815	0x0011	0x00000009
26	SCT-NERCV	0x0004	S1812	0x0012	0x00000013
27	SCT-NERCV	0x0004	S1814	0x0013	0x00000014
28	SDO-NERCV	0x0007	T1801	0x0000	0x00000001
29	SDO-NERCV	0x0007	T1803	0x0001	0x00000002
30	SDO-NERCV	0x0007	T1805	0x0002	0x00000003
31	SDO-NERCV	0x0007	T1807	0x0003	0x00000004
32	SDO-NERCV	0x0007	T1809	0x0004	0x00000005
33	SDO-NERCV	0x0007	T1811	0x0005	0x0000000A
34	SDO-NERCV	0x0007	T1813	0x0006	0x00000006
35	SDO-NERCV	0x0007	T1815	0x0007	0x00000007
36	SDO-NERCV	0x0007	T1817	0x0008	0x0000000B
37	SDO-NERCV	0x0007	T1819	0x0009	0x0000000C
38	SDO-NERCV	0x0007	T1821	0x000A	0x0000000D
39	SDO-NERCV	0x0007	T1823	0x000B	0x0000000E
40	SDO-NERCV	0x0007	T1901	0x000C	0x0000000F
41	SDO-NERCV	0x0007	T1903	0x000D	0x00000010
42	SDO-NERCV	0x0007	T1905	0x000E	0x00000011
43	SDO-NERCV	0x0007	T1802	0x000F	0x00000013
44	SDO-NERCV	0x0007	T1804	0x0010	0x00000014
45	SDO-NERCV	0x0007	T1806	0x0011	0x00000015
46	SDO-NERCV	0x0007	T1808	0x0012	0x00000016
47	SDO-NERCV	0x0007	T1810	0x0013	0x00000017
48	SDO-NERCV	0x0007	T1812	0x0014	0x0000001A
49	SDO-NERCV	0x0007	T1814	0x0015	0x00000008
50	SDO-NERCV	0x0007	T1816	0x0016	0x00000018
51	SDO-NERCV	0x0007	T1818	0x0017	0x0000001B
52	SDO-NERCV	0x0007	T1820	0x0018	0x0000001C
53	SDO-NERCV	0x0007	T1902	0x0019	0x0000001D
54	SDO-NERCV	0x0007	T1904	0x001A	0x0000001E
55	SDO-NERCV	0x0007	T1906	0x001B	0x0000001F
56	PDKJ	0x000F	PSD1801	0x0000	0x00000001
57	PDKJ	0x000F	PSD1802	0x0004	0x00000002
58	PDKJ	0x000F	PSD1901	0x0008	0x00000003
59	PDKJ	0x000F	PSD1902	0x000C	0x00000004
60	ESB	0x0010	ESB1801/3-ESBJ	0x0010	0x00000001
61	ESB	0x0010	ESB1802/4-ESBJ	0x0011	0x00000002
62	ESB	0x0010	ESB1901/3-ESBJ	0x0012	0x00000003
63	ESB	0x0010	ESB1902/4-ESBJ	0x0013	0x00000004
64	SDJ-NERCV	0x0011	PSD1901-KMJ	0x000A	0x00000001
65	WDJ-NERCV	0x0012	PSD1901-MPLJ	0x0009	0x00000001
66	ZTZFAJ	0x0013	DRB1801-DRBJ	0x0014	0x00000001

************************ ZcCfgToSIM start: 67 ******************************
