V.A.0000.000.45
/**Base atpInterfaceTable Number, 468 **/
0x001e , // zcType default
0x0001 , // zcIndex [10进制表示为: 1]
0x003c , // ciType default
0x0001 , // ciIndex [10进制表示为: 1]

序号 , 设备名称 , 设备类型 , 设备ID , ZC侧ID , 码位值0 , P1801 , DBJ , 0 ,1 ,1
1 , P1801 , FBJ , 0 ,1 ,2
2 , P1801 , DCSB , 0 ,1 ,3
3 , P1803 , DBJ , 1 ,2 ,4
4 , P1803 , FBJ , 1 ,2 ,5
5 , P1803 , DCSB , 1 ,2 ,6
6 , P1805 , DBJ , 2 ,3 ,7
7 , P1805 , FBJ , 2 ,3 ,8
8 , P1805 , DCSB , 2 ,3 ,9
9 , P1807 , DBJ , 3 ,4 ,10
10 , P1807 , FBJ , 3 ,4 ,11
11 , P1807 , DCSB , 3 ,4 ,12
12 , P1802 , DBJ , 4 ,5 ,4
13 , P1802 , FBJ , 4 ,5 ,5
14 , P1802 , DCSB , 4 ,5 ,6
15 , P1804 , DBJ , 5 ,6 ,1
16 , P1804 , FBJ , 5 ,6 ,2
17 , P1804 , DCSB , 5 ,6 ,3
18 , P1806 , DBJ , 6 ,7 ,13
19 , P1806 , FBJ , 6 ,7 ,14
20 , P1806 , DCSB , 6 ,7 ,15
21 , P1808 , DBJ , 7 ,8 ,10
22 , P1808 , FBJ , 7 ,8 ,11
23 , P1808 , DCSB , 7 ,8 ,12
24 , X1805 , SCT-NERCV , 0 ,5 ,65535
25 , X1805 , DDJ-NERCV , 0 ,5 ,65535
26 , X1805 , LXJZC , 0 ,5 ,65535
27 , S1806 , SCT-NERCV , 1 ,17 ,65535
28 , S1806 , DDJ-NERCV , 1 ,17 ,65535
29 , S1806 , LXJZC , 1 ,17 ,65535
30 , X1801 , SCT-NERCV , 2 ,2 ,3
31 , X1801 , DDJ-NERCV , 2 ,2 ,4
32 , X1801 , LXJZC , 2 ,2 ,17
33 , X1803 , SCT-NERCV , 3 ,3 ,5
34 , X1803 , DDJ-NERCV , 3 ,3 ,6
35 , X1803 , LXJZC , 3 ,3 ,18
36 , X1817 , SCT-NERCV , 4 ,10 ,19
37 , X1817 , DDJ-NERCV , 4 ,10 ,20
38 , X1817 , LXJZC , 4 ,10 ,25
39 , X1901 , SCT-NERCV , 5 ,11 ,21
40 , X1901 , DDJ-NERCV , 5 ,11 ,22
41 , X1901 , LXJZC , 5 ,11 ,26
42 , S1802 , SCT-NERCV , 6 ,14 ,25
43 , S1802 , DDJ-NERCV , 6 ,14 ,26
